Lexeme          LineNo TokenName              ValueIfNumber Parent                 isLeaf   Node                  
_sumN          	 4  	 TK_FUNID              	 ----      	 function              	 yes 	 TK_FUNID              	 
----           	 0  	 function              	 ----      	 otherFunctions        	 no  	 function              	 
input          	 4  	 TK_INPUT              	 ----      	 input_par             	 yes 	 TK_INPUT              	 
----           	 0  	 input_par             	 ----      	 function              	 no  	 input_par             	 
parameter      	 4  	 TK_PARAMETER          	 ----      	 input_par             	 yes 	 TK_PARAMETER          	 
list           	 4  	 TK_LIST               	 ----      	 input_par             	 yes 	 TK_LIST               	 
[              	 4  	 TK_SQL                	 ----      	 input_par             	 yes 	 TK_SQL                	 
int            	 4  	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 input_par             	 no  	 parameter_list        	 
d5cc34         	 4  	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 4  	 TK_SQR                	 ----      	 input_par             	 yes 	 TK_SQR                	 
output         	 5  	 TK_OUTPUT             	 ----      	 output_par            	 yes 	 TK_OUTPUT             	 
----           	 0  	 output_par            	 ----      	 function              	 no  	 output_par            	 
parameter      	 5  	 TK_PARAMETER          	 ----      	 output_par            	 yes 	 TK_PARAMETER          	 
list           	 5  	 TK_LIST               	 ----      	 output_par            	 yes 	 TK_LIST               	 
[              	 5  	 TK_SQL                	 ----      	 output_par            	 yes 	 TK_SQL                	 
real           	 5  	 TK_REAL               	 ----      	 primitiveDataType     	 yes 	 TK_REAL               	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 output_par            	 no  	 parameter_list        	 
d3             	 5  	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 5  	 TK_SQR                	 ----      	 output_par            	 yes 	 TK_SQR                	 
;              	 5  	 TK_SEM                	 ----      	 function              	 yes 	 TK_SEM                	 
eps            	 0  	 eps                   	 ----      	 typeDefinitions       	 yes 	 eps                   	 
----           	 0  	 typeDefinitions       	 ----      	 stmts                 	 no  	 typeDefinitions       	 
----           	 0  	 stmts                 	 ----      	 function              	 no  	 stmts                 	 
type           	 6  	 TK_TYPE               	 ----      	 declaration           	 yes 	 TK_TYPE               	 
----           	 0  	 declaration           	 ----      	 declarations          	 no  	 declaration           	 
int            	 6  	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
